Group,Count,Fitness_Min,Fitness_Median,Fitness_Mean,Fitness_StdDev,Fitness_Max,Best_Fitness_Count,Time_Mean,Time_StdDev,Passes_Mean,Passes_StdDev,Unchanged_Mean,Unchanged_StdDev
10,10,10,25.5000,25.2000,6.9730,34,1/10,54.9596,0.2102,10000.0000,0.0000,3004.2000,1649.4228
25,10,9,11.5000,14.0000,4.5461,21,1/10,55.2732,0.1610,10000.0000,0.0000,1697.2000,1096.7028
40,10,8,9.5000,9.3000,1.0593,11,3/10,55.3081,0.2211,10000.0000,0.0000,801.5000,283.8807
50,10,3,9.0000,9.1000,3.3813,14,1/10,55.1703,0.1533,10000.0000,0.0000,352.4000,102.1385
60,10,2,5.5000,5.9000,2.6854,10,2/10,54.9998,0.1476,10000.0000,0.0000,82.3000,30.6487
75,10,3,6.5000,6.3000,1.7670,9,1/10,54.9661,0.1403,10000.0000,0.0000,6.1000,3.3149
100,10,5,8.5000,8.8000,2.6583,13,1/10,54.9094,0.0918,10000.0000,0.0000,0.2000,0.4216
