Group,Count,Fitness_Min,Fitness_Median,Fitness_Mean,Fitness_StdDev,Fitness_Max,Best_Fitness_Count,Time_Mean,Time_StdDev,Passes_Mean,Passes_StdDev,Unchanged_Mean,Unchanged_StdDev
28,4,7,12.5000,11.7500,3.4034,15,1/4,55.2358,0.1909,10000.0000,0.0000,2529.2500,1803.6576
29,1,7,7.0000,7.0000,,7,1/1,55.4005,,10000.0000,,1809.0000,
30,1,12,12.0000,12.0000,,12,1/1,55.4218,,10000.0000,,2698.0000,
31,1,17,17.0000,17.0000,,17,1/1,55.2347,,10000.0000,,4514.0000,
32,3,9,10.0000,12.6667,5.5076,19,1/3,55.3516,0.1705,10000.0000,0.0000,4521.3333,1274.8997
