Group,Count,Fitness_Min,Fitness_Median,Fitness_Mean,Fitness_StdDev,Fitness_Max,Best_Fitness_Count,Time_Mean,Time_StdDev,Passes_Mean,Passes_StdDev,Unchanged_Mean,Unchanged_StdDev
10,10,11,20.5000,21.2000,7.2388,34,1/10,55.3466,0.1165,10000.0000,0.0000,3870.4000,351.9634
25,10,6,8.5000,10.3000,3.7727,17,1/10,55.3504,0.3811,10000.0000,0.0000,2362.7000,105.3207
40,10,4,5.5000,6.5000,2.0683,10,1/10,55.4029,0.1834,10000.0000,0.0000,807.7000,34.3286
50,10,3,7.0000,7.3000,2.2136,11,1/10,55.1163,0.1950,10000.0000,0.0000,348.2000,13.6202
60,10,5,8.0000,7.8000,1.6193,10,1/10,55.3308,0.1473,10000.0000,0.0000,177.0000,14.0317
75,10,7,9.0000,9.5000,1.5092,12,1/10,55.2074,0.2252,10000.0000,0.0000,87.7000,11.5859
100,10,7,11.0000,10.8000,2.0976,13,1/10,55.1103,0.1255,10000.0000,0.0000,40.2000,8.9294
